년도,교명,PR1,PR1,PR1,PR2,PR2,PR2,PR3,PR3,PR3,PR4,PR4,PR4,PR5,PR5,PR5,PR6,PR6,PR6,PR7,PR7,PR7,SC1,SC1,SC1,SC2,SC2,SC2,SC3,SC3,SC3,SC4,SC4,SC4,SC5,SC5,SC5,SC6,SC6,SC6,SC7,SC7,SC7,ST1,ST1,ST1,ST2,ST2,ST2,ST3,ST3,ST3,ST4,ST4,ST4,ST5,ST5,ST5,ST6,ST6,ST6,ST7,ST7,ST7,MA1,MA1,MA1,MA2,MA2,MA2,MA3,MA3,MA3,MA4,MA4,MA4,MA5,MA5,MA5,MA6,MA6,MA6,MA7,MA7,MA7,FA1,FA1,FA1,FA2,FA2,FA2,FA3,FA3,FA3,FA4,FA4,FA4,FA5,FA5,FA5,FA6,FA6,FA6,FA7,FA7,FA7,ET1,ET1,ET1,ET2,ET2,ET2,ET3,ET3,ET3,ET4,ET4,ET4,ET5,ET5,ET5,ET6,ET6,ET6,ET7,ET7,ET7
2003,한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,중소기업기술혁신대전 수상,2003년 9월 24일,중소기업기술혁신대전 산.학.연 단체부문 대통령상을 수상했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2002학년도 학위 수여식,2003년 2월 21일,2002학년도 학위수여식에서 학부과정 1146명 및 석사과정 24명 등 총 1170명이 수료했다.,2003학년도 입학식 진행,2003년 3월 3일,신입생 1511명 및 편입생 403명 및 산업체 위탁생 193명 등 총 2107명이 입학했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2004,한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,한국국제협력단 협약서,2004년 6월 15일,한국국제협력단과 대 개도국 해외봉사단 파견시 봉사참여 재학생의 학점인정제 실시 및 팀제봉사단 파견협력 등을 주요내용으로 하는 협약서를 체결했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2003학년도 학위 수여식,2004년 2월 20일,2003학년도 전기 학위수여식에서 학부과정 1221명 및 석사과정 55명 등 총 1276명이 수료했다.,2004학년도 입학식 진행,2004년 3월 2일,신입생 및 편입생 총 2319명이 입학했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,다수의 학과 명칭 변경,2004년 3월 1일,식품공학과→식품생물공학과 / 컴퓨터정보수리학→컴퓨터정보수학과 / 산업디자인학부→디자인학부로 학과 명칭을 변경했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,중앙도서관 개관,2004년 3월 18일,중앙도서관을 개관했다.,중등교육연수원 개설 인가,2004년 10월 4일,한경대학교부설 중등교육연수원을 개설 인가했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2005,한경대학교,제4대 총장 최일신 취임,2005년 3월 31일,제4대 총장으로 최일신(2005.3.31. ~ 2009.3.30.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,친환경 농축산물 인증 기관,2005년 2월 25일,국립 농산물 품질 관리원 친환경 농축산물 인증기관으로 지정됐다.,대학 조직 체계 개편,2005년 3월 1일,국립학교 설치령 개정에 따라 조직체제를 개편하였고 5과체제에서 3처 체제로 대학부를 대학으로 변경했다. 이어 단과 대학과 대학원의 통합 행정실을 설치했다. ,개교 제66주년 기념식 개최,2005년 4월 14일,개교 제66주년 기념식이 열렸다.,교기 인수 진행,2005년 4월 21일,교기 인수가 진행됐다.,건학 66주년 기념 한경제,2005년 5월 13일,건학 66주년 기념 한경제가 열렸다.,수도권 대학 특성화 지원사업,2005년 6월 21일,우리 대학이 수도권 대학 특성화 지원사업에 선정됐다.,통합 대원칙 합의,2005년 11월 24일,우리 대학과 한국재활복지대학 및 경인교육대학이 통합 대원칙에 합의하였다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 명칭 변경,2005년 3월 1일,생물자원기계학과에서 기계공학과로 학과 명칭을 변경했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,친환경농축산물인증센터,2005년 5월 6일,친환경농축산물인증센터를 개소했다.,인문사회관 개관,2005년 12월 15일,인문사회관을 개관했다.,백호광장 준공,2005년 12월 9일,백호광장이 준공됐다. 총 4억 6천여만원의 예산을 투입했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2006,한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,해외연수생 파견 발대식,2006년 1월 20일,본교는 20일 국제협력센터 주관 친환경 해외연수생 파견 발대식을 가졌다.,평생교육원 수료식,2006년 2월 28일,우리 학교는 28일 공동실험실습관에서 평생교육원의 수료식을 가졌다.,우수농산물 인증기관 지정,2006년 4월 10일,국립농산물품질관리원 우수농산물(gap)인증기관으로 지정됐다.,BK 21 사업 선정,2006년 4월 27일,우리 대학이 제2단계 BK 21 사업에 선정됐다.,한국재활복지대학 통합 추진,2006년 8월 1일,경기도지사 및 3개교 총학장이 경인교대가 즉시 통합이 어려울 경우 우선 우리 대학과 한국재활복지대학 2자간의 우선 통합을 추진할 수 있다는 안을 제시했다.,null,null,null,null,null,null,2005학년도 전기 학위 수여식,2006년 2월 22일,2005학년도 전기 학위 수여식에서 학사 1251명 및 석사 64명 등 총 1317명이 수료했다.,2006학년도 입학식 진행,2006년 3월 2일,입학식으로 신입생 1513명과 편입생 419명 및 위탁생 233명 및 대학원 170명으로 총 2335명이 입학했다. 입시 경쟁률 평균 13대 1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 명칭 변경 및 통합,2006년 3월 1일,조경공학과→조경학과로 학과 명칭을 변경했다. 식물자원학과와 원예학과→식물생명환경과학부 / 동물생명자원학과와 낙농학과→동물생명환경학부로 통합했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2007,한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2자 우선 통합 추진,2007년 2월 25일,경인교대의 유예요청으로 인해 2자 우선 통합 추진으로 진행했다.,통합 추진 교수회 개최,2007년 3월 15일,교수회를 개최하고 우선 2자 토합의 동의 여부와 2자 통합 추진을 총장에 위임하는 안건을 심의했다.,통합 합의각서 체결,2007년 4월 5일,한국재활복지대학과 통합 합의각서(MOA)를 체결했다.,통합 공청회 개최,2007년 10월 2일,한경대학교와 재활복지대의 통합 공청회가 열렸다.,null,null,null,null,null,null,null,null,null,2006학년도 전기 학위 수여식,2007년 2월 22일,2006학년도 전기 학위 수여식에서 학사 1284명 및 석사 58명 등 총 1284명이 수료했다.,2007학년도 입학식 진행,2007년 3월 2일,입학식으로 신입생 1460명과 편입생 387명 및 위탁생 222명 및 대학원 213명 등으로 총 2309명이 입학했다. 입시 경쟁률 평균 19대 1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,다수의 학과 명칭 변경,2007년 3월 1일,컴퓨터정보수학과→응용수학과 / 응용생명과학부→동물생명환경학부(동물신소재공학전공) / 동물생명환경학부→동물생명환경과학부로 학과 명칭이 변경됐다.,학과 분리,2007년 3월 1일,정보기술공학과군→전자공학과 및 정보제어공학과 및 전기공학과 / 컴퓨터공학과군→컴퓨터공학과 및 웹정보공학과로 학과군이 분리됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,연구소 명칭 변경,2007년 1월 15일,연구소 명칭이 계면공학연구소에서 화학공학연구소로 변경됐다.,호연관 개관,2007년 8월 27일,총 565명을 수용하는 학생 기숙사(호연관)가 개관했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2008,한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,바이오가스센터 개소,2008년 3월 7일,바이오가스센터가 개소됐다.,축산위생교육원 개원,2008년 4월 23일,축산위생교육원이 개원했다.,플로랜드 개장,2008년 6월 12일,플로랜드가 개장했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2009,한경대학교,제5대 총장 김성진 취임,2009년 3월 31일,제5대 총장으로 김성진(2009.3.31. ~ 2013.3.30.)이 취임했다. ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,IT 및 전통기술 관련 사업 선정,2009년 11월 1일,우리 대학이 IT와 전통기술 융합기반 고령친화산업 전문기술 인력양성 사업으로 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 명칭 변경 및 분리,2009년 3월 1일,식물생명환경과학부→원예학과로 학과가 분리됐고 화학공학과→화학공학부(화학공학전공 및 공업화학전공)로 변경됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,기후변화연구센터 개소,2009년 2월 27일,기후변화연구센터가 개소됐다.,박물관 개관,2009년 5월 15일,박물관이 개관됐다.,학생회관 개관,2009년 12월 8일,학생회관이 개관됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010,한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,예비 기술 창업자 육성 사업,2010년 1월 26일,우리 대학이 중소기업청 예비 기술 창업자 육성 사업으로 선정됐다.,대학생 창업 지원단 사업 선정,2010년 2월 22일,우리 대학이 중소기업청 대학생 창업 지원단 사업으로 선정됐다.,물류 특성화 인력 양성 사업,2010년 4월 27일,우리 대학이 물류 특성화 인력 양성 사업으로 선정됐다.,전통 식품 마이스터 과정 선정,2010년 5월 10일,전통 식품 마이스터 과정에 선정됐다.(농림수산식품부),,2010년,12월 10일 일반대학으로의 전환이 승인됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 명칭 변경,2010년 3월 1일,운동생리정보학과→스포츠과학과로 학과명이 변경됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,비봉관 리모델링,2010년 9월,비봉관 리모델링 및 개축(35명 증가)으로 총 600명을 수용한다. ,인조잔디구장 개장,2010년 11월 18일,인조잔디구장을 개장했다.,산학협력관 개관,2010년 12월 10일,산학협력관을 개관했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,관내 5개 대학 상호협력 체결,2011년 2월 25일,우리시와 관내 5개 대학 간 상호협력(중앙대 / 두원공과대학 / 동아방송예술대학 / 한국폴리텍여자대학 / 한경대)을 체결했다.,대학교육역량강화 지원 사업,2011년 5월 9일,2011 대학교육역량강화 지원 사업에 선정됐다. (교육과학기술부),에너지 인력양성 사업 선정,2011년 7월 18일,지식경제부 에너지 인력양성 사업(에너지 기초인력양성 트랙)에 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,경기도 스마트물류기술연구센터,2011년 6월 30일,경기도 스마트물류기술연구센터를 개소했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2012,국립한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,국립한경대학교 설립,2012년 3월 1일,국립한경대학교(일반대학)이 설립(개교)됐다.,대학 창업 교육 패키지 사업 ,2012년 4월 16일,대학 창업 교육 패키지 사업에 선정됐다.,대학교육역량강화 지원 사업,2012년 4월 18일,2012 대학교육역량강화 지원 사업에 선정됐다.,예비 기술 창업자 육성 사업,2012년 5월 25일,예비 기술 창업자 육성 사업에 선정됐다.,,2012년,6월 7일 한경 Vision2025 비전선포식이 개최됐다.,,2012년,6월 12일 선취업 후진학 지원시스템 사업에 선정됐다.,식품산업 전문인력양성사업,2012년 6월 15일,식품산업 전문인력양성사업에 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,자연과학관 개관,2012년 9월 4일,자연과학관이 개관됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2013,국립한경대학교,제6대 총장 태범석 취임,2013년 4월 23일,제6대 총장으로 태범석(2013.4.17. ~ 2017.4.16.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,대학교육역량강화 지원 사업,2013년 7월 11일,대학교육역량강화 지원 사업에 선정됐다.,평생학습 활성화 지원 사업,2013년 8월 5일,2013년 대학중심의 평생학습 활성화 지원 사업에 선정됐다.,BK21 플러스 사업 선정,2013년 11월 4일,교육부 BK21 플러스 사업(특화 전문인재 양성사업단)에 선정됐다. ,2013 한일평화심포지엄 개최,2013년 11월 16일,‘동북아 평화와 번영을 위한 2013 한일평화심포지엄’을 공동 개최했다.,,2013년,12월 27일 대학교육협의회 대학평가원의 평가인증을 획득했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,창조관 신축 개관,2013년 9월 2일,200명을 수용할 수 있는 학생생활관(창조관)을 신축 개관했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2014,국립한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,마이스터대학 운영기관 선정,2014년 4월 15일,경기도 농업마이스터대학 운영기관으로 선정됐다.,수도권 대학 특성화 사업,2014년 7월 2일,수도권 대학 특성화 사업에 선정됐다.,평생학습 중심대학 육성기관,2014년 7월 15일,교육부 평생학습 중심대학 육성기관으로 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,전기전자제어공학과 수상,2014년 7월 10일,전기전자제어공학과 학생으로 구성된 'CORE'팀이 제11회 IE경진대회에서 대상과 장려상을 각각 수상했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,그린낙농지원센터 증원,2014년 3월,그린낙농지원센터 기숙사 운영(70명 증가)으로 총 870명을 수용한다. ,지역문화 복합관 건립 확정,2014년 9월 29일,지역문화 복합관 건립(19년 완공)이 확정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015,국립한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,연구마을 사업 주관기관 선정,2015년 4월 6일,중소기업청의 연구마을 사업의 주관기관으로 선정됐다.,대학생 창업아카데미,2015년 4월 13일,중소기업청의 대학생 창업아카데미 사업에 선정됐다.,대학 창의적 자산 실용화 ,2015년 5월 13일,대학 창의적 자산 실용화 지원사업에 선정됐다.,대학발전위원회 출범,2015년 10월 21일,한경대학교 대학발전위원회가 출범했다.,한국복지대학교와 MOU 체결,2015년 10월 22일,한국복지대학교와 학술 및 교육협력을 위한 MOU를 체결했다. ,지역특화산업학과 주관대학 선정,2015년 12월 8일,중소기업청의 지역특화산업학과 주관대학으로 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,한살림 농식품분석센터 개관,2015년 3월 3일,한살림 농식품분석센터가 개관됐다.,미래인재개발원 신설,2015년 7월 1일,미래인재개발원이 신설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2016,국립한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,산학연협력 주관기관 선정,2016년 1월 14일,중소기업청의 2016년도 산학연협력 기술개발사업 주관기관으로 선정됐다.,길 위의 인문학 사업 도서관,2016년 4월 18일,문화체육관광부의 길 위의 인문학 사업 도서관으로 선정됐다.,수도권대학 CKⅡ 계속 지원,2016년 5월 31일,수도권대학 특성화 사업(CKⅡ) 중간평가 결과 계속 지원 대학으로 선정됐다.,국립대 운영성과 우수대학 선정,2016년 7월 13일,국립대 직원역량강화 운영성과 우수대학으로 선정됐다.,경기도지역협력연구센터 평가 우수,2016년 9월 1일,경기도지역협력연구센터 평가 우수센터로 선정됐다.,교육 기부 진로체험 인증 기관 선정,2016년 11월 21일,한국직업능력개발원 주관 교육 기부 진로체험 인증 기관으로 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,경기국제개발협력센터 개소,2016년 5월,한국국제협력단과 함께 경기국제개발협력센터가 개소됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2017,국립한경대학교,제7대 총장 임태희 취임,2017년 10월 20일,제7대 총장으로 임태희(2017.10.20. ~ 2021.10.5.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,교육자원공유 업무 협약 체결,2017년 2월 15일,한국교통대학교와 건국대글로컬캠퍼스 및 세명대학교가 교육자원공유 업무 협약에 체결했다.,농업계학교 역량강화 교육,2017년 3월,농업계학교 역량강화 교육 지원 사업에 선정됐다.,국립대직원역량강화 최우수,2017년 4월 20일,교육부 국립대직원역량강화 운영성과 평가 최우수 대학으로 선정됐다.,산업 안전 보건 계약학과 주관대학,2017년 6월 2일,산업 안전 보건 계약학과 주관대학으로 선정됐다.,고교교육기여대학지원 공동사업,2017년 8월 30일,교육부 2017년 고교교육기여대학지원 공동사업으로 선정됐다.,2017 한경공학페스티벌 개최,2017년 11월 2일,본교 체육관에서 2017 한경공학페스티벌을 개최했다. 한경공학페스티벌은 공학계열 학생들이 직접 만든 공학 작품을 전시하고 활동 성과를 공유하여 우수과제를 포상하고 학생들의 자긍심을 고취하기 위해 마련된 행사다. ,학생 맞춤형 취업캠프,2017년 11월 13일,미래인재개발원은 11월 13일부터 14일까지 이틀간 학생 맞춤형 취업캠프 및 기업체 견학 프로그램을 개최했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,나래관 개관,2017년 3월 6일,586명을 수용하는 학생생활관(나래관)이 개관됐다. 총 1456명을 수용한다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학교 업무 협약,2017년 2월 15일,업무협약은 지역중심 국립대와 사립대 간의 첫 교육과정 및 자원공유이다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2018,국립한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,대학일자리센터사업 운영대학,2018년 2월 12일,고용노동부 주관 대학일자리센터사업 운영대학으로 선정됐다.,파란사다리 주관대학 선정,2018년 3월 15일,교육부 주관 파란사다리 주관대학으로 선정됐다.,파란사다리 주관대학 선정,2018년 3월 19일,우리대학이 교육부와 한국장학재단이 시행하는 2018년 파란사다리 주관대학에 선정되었다.,개교 79주년 개교기념식 개최,2018년 4월 13일,개교 79주년을 맞아 본교 컨벤션홀에서 총동문회장 및 교직원이 참석한 가운데 개교기념식을 개최했다. ,고교교육기여대학지원 공동사업,2018년 5월 17일,교육부 2018년 고교교육기여대학지원 공동사업으로 선정됐다.,공공부문 인적자원개발 Best HRD,2018년 9월 20일,2018 공공부문 인적자원개발 우수기관(Best HRD)에 선정됐다.,대학 구조 조정 및 평가,2018년 10월 16일,교육부 이진석 고등교육정책실장 및 신민영 국립대학정책과 사무관이 우리 대학을 방문했다. 대학 구조 조정과 대학 평가 및 국립대 발전 방안에 대한 다양한 이야기가 나왔으며 국립대 육성에 최대한 지원을 아끼지 않겠다고 답변했다.,2017학년도 전기 학위 수여식,2018년 2월 22일,11시에 본교 체육관에서 2017학년도 전기 학위수여식을 개최했다. 이번 학위수여식에는 총 943명의 졸업생이 배출됐다.,2018학년도 입학식,2024년 2월 28일,11시 본교 체육관 등에서 1522명의 신편입생이 참여한 가운데 2018학년도 입학식을 개최했다. 입학식 후에는 각 단과대학별로 오리엔테이션이 진행돼 대학생활에 대한 안내가 이뤄졌다. ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,비봉관 2인 1실 리모델링,2018년 2월,비봉관 2인 1실 리모델링(수용인원 108명)으로 총 1350명을 수용한다.,중앙도서관 한경마루 현판식,2018년 5월 17일,중앙도서관 2층이 리모델링을 거쳐 복합문화공간 한경마루로 재탄생했다. 새롭게 구성된 한경마루는 편안한 디자인의 휴게공간은 물론 자료검색 및 학습 등 다양한 기능을 수행할 수 있는 공간으로 구성됐다.,대학일자리센터 개소식,2018년 11월 21일,대학일자리센터 개소식이 진행됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2019,국립한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,취업브리지사업단 선정,2019년 3월 12일,경기도 일자리재단 취업브리지사업단으로 선정됐다.,한경비전 2030 확정,2019년 3월 25일,<한경비전 2030> 중장기 발전계획 및 특성화 계획을 확정했다.,통합 관련 양해 각서 체결,2019년 4월 15일,한국복지대와 통합 관련 양해 각서를 체결했다. ,개교 80주년 개교기념식 개최,2019년 4월 16일,개교 80주년 개교기념식을 개최했다.,대학혁신지원 사업 선정,2019년 5월 2일,우리 대학은 교육부의 2019년 대학혁신지원 사업에 선정됐다. 이번 사업에 선정됨에 따라 한경대는 오는 2021년까지 3년간 66억 원의 국고 지원금을 받게 된다.,실증연구단 수행 기관 선정,2019년 5월 28일,미세먼지 저감을 위한 실증연구단 수행기관으로 선정됐다.,<한경비전 2030> 선포식,2019년 12월 5일,<한경비전 2030> 선포식을 개최했다. 대학 비전을 새롭게 수립했다. 한경비전2030은 ‘길을 만드는 대학 경기 대표 국립대학’의 비전에 맞게 도전과 소통에 강한 융합형 인재를 양성해 전국 30위권 대학에 진입하겠다는 내용을 핵심으로 한다.,2018학년도 전기 학위 수여식,2019년 2월 22일,11시에 본교 체육관에서 2018학년도 학위수여식이 개최됐다. 총 1050명이 학위수여를 받게 됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,건축학과 인증심사 최고 등급 획득,2019년 1월 31일,건축학과(5년제)가 KAAB의 건축학 교육 프로그램 인증심사 결과 최고등급인 6년 인증 유효기간을 획득하였다.,대학 특성화 학부 선정,2019년 3월 20일,웰니스산업융합학부가 대학 특성화 학부로 선정됐다.,웰니스글로컬페스티벌 개최,2019년 11월 27일,우리 대학의 웰니스글로컬페스티벌이 성황리에 개최됐다.,null,null,null,null,null,null,null,null,null,null,null,null,KCL 사업장 개소,2019년 6월 18일,한경대 내 KCL(한국건설생활환경시험연구원) 사업장을 개소했다.,친환경농업연구센터 준공,2019년 11월 13일,친환경농업연구센터가 준공됐다.,지역문화복합관 준공,2019년 12월 20일,지역문화복합관이 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020,국립한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,통합 합의서 체결,2020년 6월 3일,한경대학교 및 한국복지대학교의 통합 합의서가 체결됐다.,융합기술 창업지원 사업 선정,2020년 6월 16일,경기도 대학생 융합기술 창업지원 사업으로 선정됐다.,장애 대학생 실태 평가 우수,2020년 11월 27일,2020 장애 대학생 교육복지지원 실태 평가에서 우수 대학으로 선정됐다.,글로컬 융합교육센터 신축사업비,2020년 12월 2일,글로컬 융합교육센터의 신축사업비가 확정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학사 구조 개편,2020년 3월 1일,학사구조가 4개 단과대학과 24개 학과에서 13개 학부와 31개 전공으로 개편됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,HK 드림랜드 개소식 개최,2020년 5월 28일,창업동아리 발대식 및 창업공간(HK 드림랜드) 개소식이 개최됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
